BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point
B1753,ERS,GLENMORE AVE & MILLER AVE,11207,Brooklyn,BK05,37,40.67385059,-73.89154333,POINT (-73.89154333 40.67385059)
X3395,ERS,MARION AVE & E 196 ST,10458,Bronx,BX07,15,40.86580875,-73.88921626,POINT (-73.88921626 40.86580875)
Q1153,BARS,MOTT AVE & WATERLOO PL,11691,Queens,QN14,31,40.61025542,-73.76748391,POINT (-73.76748391 40.61025542)
Q3696,BARS,HARDING XWAY N & 190 ST,11365,Queens,QN11,20,40.74170797,-73.78498624,POINT (-73.78498624 40.74170797)
R1351,BARS,LIVERMORE AVE & LEONARD AVE,10314,Staten Island,SI01,50,40.61839111,-74.13842793,POINT (-74.13842793 40.61839111)
B1929,ERS,STANLEY AVE & WILLIAMS AVE,11207,Brooklyn,BK18,42,40.65448793,-73.8952054,POINT (-73.8952054 40.65448793)
Q2121,ERS,PITKIN AVE & 88 ST,11417,Queens,QN10,32,40.67391552,-73.84767158,POINT (-73.84767158 40.67391552)
Q6124,BARS,35 AVE & 214 PL,11361,Queens,QN11,19,40.7694889,-73.77096991,POINT (-73.77096991 40.7694889)
R0432,BARS,COURSEN PL & DIX PL,10304,Staten Island,SI01,49,40.61971736,-74.07948004,POINT (-74.07948004 40.61971736)
Q7448,BARS,31 AVE & 12 ST,11102,Queens,QN01,26,40.76881779,-73.93344469,POINT (-73.93344469 40.76881779)
Q1686,ERS,161 AVE & 88 ST,11414,Queens,QN10,32,40.65516245,-73.84371995,POINT (-73.84371995 40.65516245)
Q4995,ERS,ROCKAWAY BLVD & MEYER AVE,11422,Queens,QN13,31,40.63611449,-73.74029184,POINT (-73.74029184 40.63611449)
B2989,ERS,CONEY ISLAND AVE & AVENUE M,11230,Brooklyn,BK14,44,40.6175894,-73.96381145,POINT (-73.96381145 40.6175894)
X2473,ERS,VIELE AVE & DRAKE ST,10474,Bronx,BX02,17,40.80738993,-73.88080304,POINT (-73.88080304 40.80738993)
M0893,ERS,1 AVE & E 54 ST,10022,Manhattan,MN06,4,40.75638153,-73.96432544,POINT (-73.96432544 40.75638153)
R8738,ERS,W SHORE XWAY S/B AT ARDEN AVE,10314,Staten Island,SI03,51,40.56104918,-74.19981553,POINT (-74.19981553 40.56104918)
Q4259,ERS,59 RD & 69 PL,11378,Queens,QN05,30,40.72329936,-73.89218185,POINT (-73.89218185 40.72329936)
Q1394,BARS,ROCKAWAY BEACH BLVD & BEACH 124 ST,11694,Queens,QN14,32,40.57758051,-73.84387322,POINT (-73.84387322 40.57758051)
B2679,ERS,8 AVE & 46 ST,11220,Brooklyn,BK07,38,40.64335675,-74.0013799,POINT (-74.0013799 40.64335675)
M1611,ERS,8 AVE/DOUGLAS BLVD 540'N OF W 155 ST,10039,Manhattan,MN10,9,40.82901527,-73.93724093,POINT (-73.93724093 40.82901527)
R2086,ERS,PRESCOTT AVE & KRUSER ST,10306,Staten Island,SI02,50,40.57895633,-74.11277114,POINT (-74.11277114 40.57895633)
M0430,ERS,2 AVE & E 5 ST,10003,Manhattan,MN03,2,40.72677887,-73.98898482,POINT (-73.98898482 40.72677887)
Q4773,ERS,JAMAICA AVE & PARSONS BLVD,11433,Queens,QN12,24,40.70334128,-73.80020147,POINT (-73.80020147 40.70334128)
Q8593,ERS,91 AVE 300' E OF 98 ST,11418,Queens,QN09,32,40.6913159,-73.84508871,POINT (-73.84508871 40.6913159)
M1618,ERS,POWELL BLVD & W 144 ST,10030,Manhattan,MN10,9,40.82096543,-73.939566,POINT (-73.939566 40.82096543)
R3770,ERS,ARTHUR KILL RD & VETERANS RD E,10309,Staten Island,SI03,51,40.55661748,-74.2039845,POINT (-74.2039845 40.55661748)
Q7784,BARS,31 AVE & 71 ST,11370,Queens,QN03,22,40.75815848,-73.89626219,POINT (-73.89626219 40.75815848)
X2541,ERS,WASHINGTON AVE & E 166 ST,10456,Bronx,BX03,16,40.82822459,-73.90860485,POINT (-73.90860485 40.82822459)
R1021,BARS,STEUBEN ST & RICHMOND RD,10304,Staten Island,SI01,49,40.61184045,-74.08821628,POINT (-74.08821628 40.61184045)
M0369,ERS,GREENE ST & W 3 ST,10012,Manhattan,MN02,1,40.72855069,-73.99634503,POINT (-73.99634503 40.72855069)
R4364,ERS,DRUMGOOLE RD E & MINTURN AVE,10309,Staten Island,SI03,51,40.53011701,-74.20862135,POINT (-74.20862135 40.53011701)
R2436,BARS,HITCHCOCK AVE & RICHMOND RD/RVFD,10306,Staten Island,SI03,50,40.57386929,-74.13095113,POINT (-74.13095113 40.57386929)
Q7630,BARS,HOYT AVE S & 23 ST,11102,Queens,QN01,22,40.77396229,-73.92279264,POINT (-73.92279264 40.77396229)
